iter	Recall	Logloss
799	0.9644128114	0.02971394154
800	0.9644128114	0.02965795427
801	0.9651245552	0.02961292125
802	0.9651245552	0.02956712088
803	0.9651245552	0.02950761877
804	0.9651245552	0.02946353193
805	0.9651245552	0.02940807466
806	0.9651245552	0.02936501854
807	0.9651245552	0.02932202419
808	0.9651245552	0.0292661865
809	0.9651245552	0.02922246057
810	0.9658362989	0.02917967433
811	0.9665480427	0.02912477956
812	0.9658362989	0.02908328415
813	0.9658362989	0.02903820236
814	0.9672597865	0.02898029997
815	0.9665480427	0.02893924677
816	0.9672597865	0.02889503962
817	0.9672597865	0.02884051553
818	0.9672597865	0.02879513135
819	0.9672597865	0.02874167374
820	0.9672597865	0.02870004176
821	0.9672597865	0.02865533389
822	0.9672597865	0.02860348251
823	0.9672597865	0.02855886243
824	0.9672597865	0.02851128675
825	0.9672597865	0.02847060746
826	0.9672597865	0.02842759686
827	0.9672597865	0.02837953997
828	0.9672597865	0.02834082783
829	0.9672597865	0.02829897475
830	0.9672597865	0.02826132585
831	0.9672597865	0.02822323799
832	0.9672597865	0.02818400561
833	0.9672597865	0.02814054306
834	0.9672597865	0.02809339007
835	0.968683274	0.0280541707
836	0.968683274	0.02801909046
837	0.968683274	0.0279798971
838	0.968683274	0.02794538263
839	0.968683274	0.0279087937
840	0.968683274	0.02786258039
841	0.968683274	0.02782102646
842	0.968683274	0.02778500329
843	0.968683274	0.02775021894
844	0.968683274	0.02770389508
845	0.968683274	0.02766447087
846	0.968683274	0.02762550511
847	0.968683274	0.02758552164
848	0.968683274	0.0275509844
849	0.968683274	0.02750434515
850	0.968683274	0.02746928767
851	0.968683274	0.02743289059
852	0.968683274	0.02738749665
853	0.968683274	0.02734105574
854	0.968683274	0.02729539193
855	0.968683274	0.02725980447
856	0.968683274	0.02722417473
857	0.968683274	0.02718590479
858	0.968683274	0.0271490086
859	0.968683274	0.02711281473
860	0.968683274	0.02707574134
861	0.968683274	0.02703145779
862	0.9701067616	0.0269877156
863	0.9701067616	0.02695261098
864	0.9701067616	0.02690809007
865	0.9701067616	0.02687097928
866	0.9701067616	0.02683858315
867	0.9701067616	0.02679803067
868	0.9701067616	0.0267644705
869	0.9722419929	0.02672270522
870	0.9722419929	0.02669070901
871	0.9715302491	0.02664853079
872	0.9729537367	0.02660861398
873	0.9729537367	0.02657439863
874	0.9729537367	0.02653391769
875	0.9729537367	0.02649275881
876	0.9743772242	0.02645993673
877	0.9743772242	0.02642677649
